,l,n,nu,dnu
0,0,6,972.615,0.002
1,0,7,1117.993,0.004
2,1,7,1185.604,0.003
3,0,8,1263.198,0.005
4,1,8,1329.635,0.003
5,2,8,1394.689,0.005
6,0,9,1407.472,0.006
7,1,9,1472.839,0.006
8,2,9,1535.853,0.005
9,0,10,1548.336,0.007
10,3,9,1591.536,0.014
11,1,10,1612.724,0.006
12,2,10,1674.538,0.008
13,0,11,1686.594,0.012
14,3,10,1729.088,0.022
15,1,11,1749.285,0.007
16,2,11,1810.308,0.009
17,0,12,1822.202,0.012
18,3,11,1865.28,0.016
19,1,12,1885.089,0.009
20,2,12,1945.824,0.013
21,0,13,1957.452,0.012
22,1,13,2020.793,0.01
23,2,13,2082.102,0.015
24,3,13,2137.788,0.019
25,0,14,2093.518,0.013
26,1,14,2156.784,0.014
27,2,14,2217.656,0.018
28,3,14,2273.516,0.026
29,0,15,2228.749,0.014
30,1,15,2291.993,0.015
31,2,15,2352.222,0.017
32,3,15,2407.643,0.025
33,0,16,2362.788,0.016
34,1,16,2425.595,0.015
35,2,16,2485.873,0.019
36,3,16,2541.671,0.023
37,0,17,2496.18,0.017
38,1,17,2559.162,0.015
39,2,17,2619.668,0.018
40,3,17,2676.149,0.023
41,0,18,2629.668,0.015
42,1,18,2693.347,0.014
43,2,18,2754.439,0.017
44,3,18,2811.318,0.021
45,0,19,2764.142,0.015
46,1,19,2828.15,0.014
47,2,19,2889.578,0.018
48,3,19,2946.935,0.021
49,0,20,2899.022,0.013
50,1,20,2963.322,0.014
51,2,20,3024.689,0.018
52,3,20,3082.273,0.025
53,0,21,3033.754,0.014
54,1,21,3098.14,0.015
55,2,21,3159.821,0.02
56,3,21,3217.683,0.028
57,0,22,3168.618,0.017
58,1,22,3233.139,0.018
59,2,22,3295.063,0.025
60,3,22,3353.335,0.041
61,0,23,3303.52,0.021
62,1,23,3368.469,0.023
63,2,23,3430.748,0.034
64,3,23,3489.409,0.053
65,0,24,3438.992,0.03
66,1,24,3504.129,0.03
67,2,24,3566.949,0.044
68,3,24,3626.078,0.075
69,0,25,3574.893,0.048
70,1,25,3640.475,0.038
71,2,25,3703.044,0.067
72,3,25,3762.53,0.105
73,0,26,3710.717,0.088
74,1,26,3777.067,0.052
75,2,26,3839.717,0.144
76,0,27,3846.993,0.177
77,1,27,3913.57,0.068
78,2,27,3976.93,0.298
79,0,28,3984.214,0.323
