,l,n,n_p,n_g,nu,E
0,0,1,1,0,258.047293972923,0.006080845279672382
1,0,2,2,0,404.5170431966766,0.00126330265440974
2,0,3,3,0,535.9690845124632,0.0003129060618126547
3,0,4,4,0,680.5993269411147,9.428465360938788e-05
4,0,5,5,0,825.3916434976744,3.260997682717091e-05
5,0,6,6,0,972.7744865860936,1.246037687216028e-05
6,0,7,7,0,1118.180174192407,5.263050471915862e-06
7,0,8,8,0,1263.557191661249,2.257424667640725e-06
8,0,9,9,0,1407.664598922501,9.957481017621382e-07
9,1,-12,0,12,53.17020101712641,1.210452924184642
10,1,-11,0,11,57.51325266388009,1.114504035379944
11,1,-10,0,10,62.5931915927904,1.039215497346315
12,1,-9,0,9,68.60162847522676,0.9704692841521688
13,1,-8,0,8,75.77024936186294,0.9225453772918688
14,1,-7,0,7,84.4937261277235,0.9169237753551588
15,1,-6,0,6,95.36978027671918,0.9382140350569796
16,1,-5,0,5,109.2797826472753,0.9788739480494434
17,1,-4,0,4,127.9018093113999,0.9725586449171716
18,1,-3,0,3,153.405416980546,0.8360789466224475
19,1,-2,0,2,191.9012635047013,0.592558785347914
20,1,-1,0,1,263.0119060697909,0.02449717606214945
21,1,1,0,0,285.1423747394867,0.004792879721607958
22,1,2,1,0,448.4987510948888,0.0006516780636036932
23,1,3,2,0,596.9658325984844,0.0001781111065603454
24,1,4,3,0,746.6915857764197,5.558922383355886e-05
25,1,5,4,0,893.7437804657214,2.08339030718615e-05
26,1,6,5,0,1039.589573725505,8.28181396469408e-06
27,1,7,6,0,1185.649072182654,3.555874542633226e-06
28,1,8,7,0,1329.732847567734,1.555677842339885e-06
29,1,9,8,0,1473.015659903765,6.784012399966501e-07
30,2,-22,0,22,50.63954215542245,2.931058651132591
31,2,-21,0,21,52.90620024234325,2.730492023706077
32,2,-20,0,20,55.38015820858637,2.535528898071393
33,2,-19,0,19,58.09205166348975,2.355269703946958
34,2,-18,0,18,61.08069699853618,2.176647034452842
35,2,-17,0,17,64.38470448073816,1.991457896114183
36,2,-16,0,16,68.05263246174597,1.814247197019501
37,2,-15,0,15,72.15127218393724,1.648381413230633
38,2,-14,0,14,76.76049051756775,1.485923081886686
39,2,-13,0,13,81.97660858695822,1.322564017871636
40,2,-12,0,12,87.9177648678038,1.157458957515574
41,2,-11,0,11,94.72879588831094,0.9979833146374296
42,2,-10,0,10,102.6182684614472,0.8500820060319091
43,2,-9,0,9,111.8637899286016,0.6994288420180519
44,2,-8,0,8,122.763194199567,0.5474979591988192
45,2,-7,0,7,135.7537324233533,0.4110623722521295
46,2,-6,0,6,151.5059226616991,0.285257334203031
47,2,-5,0,5,170.7263923683012,0.174972033714852
48,2,-4,0,4,194.3861550927196,0.09076464237560912
49,2,-3,0,3,222.3562143803723,0.04196010642108369
50,2,-2,0,2,256.5478967715541,0.02342375088036482
51,2,-1,0,1,296.5611580658743,0.01311938720339218
52,2,0,1,1,355.8203156383776,0.005425909699160806
53,2,1,1,0,384.2105479113782,0.002790958164735486
54,2,2,2,0,514.5074046453444,0.000351338091821045
55,2,3,3,0,664.4348036470653,0.0001043969946758175
56,2,4,4,0,811.7961787986967,3.5296646835546e-05
57,2,5,5,0,959.905384046406,1.351457830395213e-05
58,2,6,6,0,1105.200949541233,5.669310034290532e-06
59,2,7,7,0,1250.771079818942,2.430917498694618e-06
60,2,8,8,0,1394.747362579726,1.074051091778185e-06
61,3,-31,0,31,50.6906437758836,5.898759834699494
62,3,-30,0,30,52.28492191859464,5.601750392354844
63,3,-29,0,29,53.98129364243417,5.308178995733444
64,3,-28,0,28,55.7897584771292,5.02837141532061
65,3,-27,0,27,57.72288184239469,4.756008430557279
66,3,-26,0,26,59.79278699908954,4.479545691407776
67,3,-25,0,25,62.0134236514748,4.212623651731084
68,3,-24,0,24,64.40310519673082,3.958438973636679
69,3,-23,0,23,66.98184949342563,3.707670757569483
70,3,-22,0,22,69.77170902307549,3.45926478692551
71,3,-21,0,21,72.79949134542618,3.213612901398645
72,3,-20,0,20,76.09499898328184,2.970616881283313
73,3,-19,0,19,79.69427359800869,2.741236500319201
74,3,-18,0,18,83.6458961316085,2.519072725303787
75,3,-17,0,17,87.99962951108054,2.286643493607381
76,3,-16,0,16,92.8109565185146,2.056737336511204
77,3,-15,0,15,98.1589154894654,1.839293739930284
78,3,-14,0,14,104.1404851469745,1.625400044535404
79,3,-13,0,13,110.8683121188657,1.408891935275396
80,3,-12,0,12,118.4798908890589,1.189235683034223
81,3,-11,0,11,127.1404209137931,0.9728540742598262
82,3,-10,0,10,137.074079710923,0.7696902876194099
83,3,-9,0,9,148.5970892498221,0.5725105583519922
84,3,-8,0,8,162.0298532476073,0.383862795304213
85,3,-7,0,7,177.7488589403811,0.2265213251616706
86,3,-6,0,6,196.2679449928428,0.1085370401749766
87,3,-5,0,5,217.3714306315029,0.03850859720461274
88,3,-4,0,4,238.7177796122508,0.01551615837174568
89,3,-3,0,3,261.6880295378583,0.01866582425548829
90,3,-2,0,2,296.8790853067026,0.03260051572350008
91,3,-1,0,1,340.1529026891558,0.02506318009994723
92,3,0,1,1,397.032766876274,0.007334833039626322
93,3,1,1,0,416.4011817109252,0.001093997355693275
94,3,2,2,0,564.7510609834404,0.0002210687648762718
95,3,3,3,0,718.5552907883097,6.746117906067868e-05
96,3,4,4,0,866.9866352139719,2.444013533363048e-05
97,3,5,5,0,1015.052633724484,9.509930298385222e-06
98,3,6,6,0,1161.725577766377,4.06941505769863e-06
99,3,7,7,0,1306.836923393771,1.760494256472987e-06
100,3,8,8,0,1451.108397634353,7.68894604200919e-07
